Core,ppm,Intensity,Width,Area,Flags
27,7.07,0.1,67.92,86.23,None
27,6.52,0.1,1.23,2.07,None
27,4.35,0.1,1.34,1.48,None
28,8.13,0.1,2.2,1.73,None
28,7.09,0.1,29.51,25.49,None
28,6.52,0.7,1.22,10.59,None
28,4.35,0.1,1.64,1.5,None
29,7.08,0.3,43.83,179.46,None
29,6.53,0.1,3.46,3.42,None
29,6.52,0.5,3.18,21.96,None
29,4.36,0.1,3.21,3.81,None
29,4.34,0.2,3.2,9.73,None
29,4.33,0.1,3.2,4.82,None
30,8.13,0.1,2.44,3.35,None
30,7.21,0.2,34.49,78.48,None
30,7.1,0.3,44.28,130.43,None
30,7,0.1,45.97,62.71,None
30,6.52,0.1,1.37,1.22,None
30,4.86,0.1,418.84,360.92,None
30,4.36,0.1,1.94,1.88,None
30,4.35,0.2,2.1,4.89,None
30,4.34,0.1,1.79,2.49,None
30,4.04,0.1,4.61,4.35,None
31,7.22,0.2,4.18,11.86,None
31,7.09,0.2,4.15,11.9,None
31,6.97,0.2,4.57,13.32,None
31,6.52,0.1,1.96,2.57,None
32,7.22,0.2,3.31,9.39,None
32,7.09,0.2,3.17,8.8,None
32,6.96,0.2,3.1,8.57,None
32,6.52,0.1,2.57,2.92,None
33,7.22,0.2,4.58,10.75,None
33,7.09,0.2,4.17,9.84,None
33,6.96,0.2,4.3,9.74,None
33,6.52,0.1,2.18,3.38,None
34,7.22,0.4,2.84,15.52,None
34,7.1,0.4,2.74,15.36,None
34,6.97,0.4,2.76,14.77,None
34,6.52,0.1,2.45,4.11,None
35,7.22,0.3,4.37,15.9,None
35,7.1,0.3,4.24,15.7,None
35,6.97,0.3,4.35,15.84,None
35,6.52,0.1,2.45,3.51,None
35,3.51,0.6,3.09,21.41,None
27,3.58,0.1,114.42,193.96,None
27,3.57,0.1,0.99,0.62,None
27,3.51,0.2,1.84,4.05,None
27,3.5,0.1,2.74,1.83,None
27,3.49,0.2,3.83,9.33,None
27,3.47,0.2,3.49,8.46,None
27,3.46,0.2,5.85,12.82,None
27,2.96,0.1,1.69,1.25,None
27,2.95,0.1,1.73,1.9,None
27,2.95,0.1,1.77,1.35,None
28,2.96,0.1,1.82,2.09,None
28,2.95,0.1,1.75,2.79,None
28,2.95,0.1,1.98,2.24,None
31,3.5,0.7,2.68,22.66,None
28,2.08,0.1,0.85,0.57,None
29,1.24,0.1,5.53,7.13,None
29,1.23,0.3,4.74,17.1,None
29,1.15,0.1,4.14,2.98,None
29,1.07,0.3,2.81,11.72,None
29,1.05,0.7,3.1,28.12,None
29,1.04,0.4,3.73,19.26,None
29,1.04,0.4,3.07,14.91,None
29,1.03,0.4,3.8,20.31,None
29,0.85,0.1,24.65,30.62,None
29,0.07,0.1,4.39,3.69,None
31,2.23,0.1,2.5,2,None
31,2.21,0.1,2.45,3.76,None
31,2.19,0.1,2.32,1.84,None
31,1.91,0.1,1.31,1.41,None
31,1.52,0.1,5.57,4.27,None
31,1.5,0.1,5.54,4.87,None
32,2.21,0.1,2.57,2.49,None
33,2.21,0.1,2.63,3.28,None
33,2.19,0.1,2.7,1.8,None
33,1.91,0.1,1.44,1.69,None
33,1.52,0.1,7.69,9.31,None
33,1.5,0.1,6.9,7.1,None
34,2.23,0.1,2.43,1.68,None
34,2.21,0.1,2.08,2.95,None
34,2.19,0.1,1.96,1.33,None
35,2.23,0.1,3.05,2.17,None
35,2.21,0.1,2.88,4.29,None
35,2.19,0.1,2.69,2.04,None
35,1.91,0.1,1.7,1.5,None
35,1.52,0.1,6.88,6.27,None
35,1.5,0.1,4.91,3.62,None
27,1.91,0.8,0.87,8.34,None
27,1.37,0.1,10.77,6.99,None
27,1.24,0.3,8.13,29.14,None
27,1.23,0.2,2.27,5.42,None
27,1.11,0.2,0.89,2.21,None
27,1.07,0.2,0.8,1.55,None
27,1.05,0.3,0.74,2.76,None
27,1.04,1.4,2.81,44.6,None
27,1.04,0.2,7.43,20.6,None
27,1.03,1.5,3.1,59.32,None
28,1.91,0.8,0.87,9.12,None
28,1.25,0.1,46.8,48.69,None
28,1.23,0.3,3.64,13.88,None
28,1.11,0.2,0.93,2.19,None
28,1.07,0.2,0.78,1.66,None
28,1.05,0.3,0.84,3.76,None
28,1.05,0.1,2.09,1.99,None
28,1.04,0.3,1.34,4.82,None
28,1.04,0.2,0.9,2,None
28,1.03,0.1,1.95,2.46,None
30,2.08,0.1,0.8,1.1,None
30,1.91,1,0.86,10.65,None
31,1.26,0.1,148.3,185.2,None
31,1.25,0.1,4.51,8.57,None
31,1.23,0.3,3.94,14.22,None
31,1.11,0.1,1.33,1.01,None
31,1.05,0.4,3.33,15.47,None
31,1.03,0.4,3.75,19.17,None
31,0.86,0.1,2.89,2.24,None
31,0.85,0.1,6.94,5.61,None
32,1.91,0.1,1.83,1.58,None
32,1.52,0.1,7.9,8.21,None
32,1.5,0.1,5.44,4.06,None
32,1.42,0.1,6.58,7.31,None
32,1.38,0.2,4.35,9.41,None
32,1.27,0.1,10.13,6.61,None
32,1.25,0.4,6.52,32.56,None
32,1.23,0.1,3.71,5.02,None
33,1.42,0.1,7.63,6.98,None
33,1.38,0.1,5.66,8.93,None
33,1.26,0.1,9.93,9.51,None
33,1.25,0.4,6.18,31.18,None
33,1.23,0.1,3.56,5.68,None
33,1.11,0.1,1.62,2.37,None
33,1.04,1.6,3.68,64.73,None
33,1.03,1.7,4.07,82.9,None
33,1.01,0.1,2.33,3.92,None
33,1,0.2,2.32,4.5,None
33,0.86,0.1,3.18,3.15,None
33,0.84,0.1,9.96,7.49,None
34,1.91,0.1,1.43,1.52,None
34,1.52,0.1,5.6,6.49,None
34,1.5,0.1,6.22,8.14,None
34,1.49,0.1,3.7,2.5,None
34,1.43,0.2,4.18,8.62,None
34,1.42,0.1,3.91,3.48,None
34,1.38,0.2,3.97,11.88,None
34,1.28,0.1,5.83,4.98,None
35,1.26,0.1,26.05,30.13,None
35,1.25,0.1,5.35,7.55,None
35,1.23,0.2,4.41,13.17,None
35,1.15,0.1,4.01,2.51,None
35,1.11,0.1,1.81,1.34,None
35,1.05,0.4,4.12,20.1,None
35,1.03,0.4,4.14,20.22,None
35,0.85,0.1,13.23,10.35,None
27,1.01,0.2,1.7,3.08,None
27,1,0.2,1.72,3.09,None
27,0.86,0.1,1.91,1.77,None
27,0.85,0.1,2.12,1.98,None
27,0.84,0.1,20.88,37.39,None
27,0.84,0.1,2.84,2.8,None
27,0.82,0.1,13.14,11.59,None
28,1.03,0.2,1.31,4.35,None
28,0.86,0.1,2.59,2.53,None
28,0.85,0.1,2,1.92,None
28,0.85,0.1,2.77,2.67,None
28,0.85,0.1,2.8,3.01,None
28,0.84,0.1,3.71,4.92,None
28,0.83,0.1,6,4.63,None
28,0.8,0.1,14.62,10.83,None
30,1.24,0.1,12.6,14.43,None
30,1.23,0.2,4.23,13.66,None
30,1.14,0.1,3.74,2.89,None
30,1.11,0.2,0.91,2.48,None
30,1.07,0.5,0.83,5.09,None
30,1.05,1.1,0.83,10.75,None
30,1.05,0.2,2.48,6.58,None
30,1.04,0.7,1.25,12.19,None
30,1.04,0.6,0.91,6.29,None
30,1.03,0.7,1.48,14.01,None
30,1.02,0.1,4.65,3.88,None
32,1.04,1.3,3.78,55.96,None
32,1.03,1.4,3.79,61.06,None
32,1.01,0.1,2.42,3.68,None
32,1,0.1,2.51,4.32,None
32,0.86,0.1,2.16,1.58,None
34,1.26,0.1,6.15,4.45,None
34,1.25,0.4,5.57,32.83,None
34,1.23,0.1,3.44,6.21,None
34,1.11,0.1,1.39,1.73,None
34,1.04,1.7,3.43,64.96,None
34,1.03,1.7,3.7,72.45,None
34,1.01,0.2,2.43,5.5,None
34,1,0.2,2.15,4.4,None
34,0.87,0.1,8.4,7.35,None
34,0.86,0.1,2.07,2.16,None
30,0.86,0.1,2.77,4.37,None
30,0.85,0.1,3.27,5.2,None
30,0.85,0.1,3.54,6.82,None
30,0.84,0.1,3.59,5.83,None
30,0.83,0.1,4.22,4.1,None
30,0.82,0.1,3.73,2.41,None
30,0.8,0.1,8.58,6.2,None
