"Core","group","relabund","treatment"
27,"aliphatic1",40.02,"Wetting"
28,"aliphatic1",67.45,"Wetting"
29,"aliphatic1",40.54,"Wetting"
30,"aliphatic1",16.11,"Wetting"
31,"aliphatic1",75.76,"Drying"
32,"aliphatic1",73.13,"Drying"
33,"aliphatic1",74.74,"Drying"
34,"aliphatic1",67.79,"Drying"
35,"aliphatic1",53.32,"Drying"
27,"aliphatic2",2.7,"Wetting"
28,"aliphatic2",5.62,"Wetting"
29,"aliphatic2",0,"Wetting"
30,"aliphatic2",1.49,"Wetting"
31,"aliphatic2",5.47,"Drying"
32,"aliphatic2",14.16,"Drying"
33,"aliphatic2",13.56,"Drying"
34,"aliphatic2",15.91,"Drying"
35,"aliphatic2",10.06,"Drying"
27,"alphah",0.26,"Wetting"
28,"alphah",0.87,"Wetting"
29,"alphah",4.89,"Wetting"
30,"alphah",1.17,"Wetting"
31,"alphah",0,"Drying"
32,"alphah",0,"Drying"
33,"alphah",0,"Drying"
34,"alphah",0,"Drying"
35,"alphah",0,"Drying"
27,"amide",0,"Wetting"
28,"amide",1,"Wetting"
29,"amide",0,"Wetting"
30,"amide",0.42,"Wetting"
31,"amide",0,"Drying"
32,"amide",0,"Drying"
33,"amide",0,"Drying"
34,"amide",0,"Drying"
35,"amide",0,"Drying"
27,"aromatic",15.55,"Wetting"
28,"aromatic",20.92,"Wetting"
29,"aromatic",54.57,"Wetting"
30,"aromatic",34.55,"Wetting"
31,"aromatic",11.94,"Drying"
32,"aromatic",12.71,"Drying"
33,"aromatic",11.7,"Drying"
34,"aromatic",16.29,"Drying"
35,"aromatic",25.78,"Drying"
27,"carb",0,"Wetting"
28,"carb",0,"Wetting"
29,"carb",0,"Wetting"
30,"carb",45.71,"Wetting"
31,"carb",0,"Drying"
32,"carb",0,"Drying"
33,"carb",0,"Drying"
34,"carb",0,"Drying"
35,"carb",0,"Drying"
27,"oalkyl",41.48,"Wetting"
28,"oalkyl",4.13,"Wetting"
29,"oalkyl",0,"Wetting"
30,"oalkyl",0.55,"Wetting"
31,"oalkyl",6.83,"Drying"
32,"oalkyl",0,"Drying"
33,"oalkyl",0,"Drying"
34,"oalkyl",0,"Drying"
35,"oalkyl",10.83,"Drying"
