source,ppm,Intensity,Area
data/peaks//31.csv,10.2,133,2381.93
data/peaks//31.csv,7.62,265.1,116551.9
data/peaks//31.csv,7.24,331.3,39456.25
data/peaks//31.csv,7.22,2531.9,134925.87
data/peaks//31.csv,7.11,356.9,39623.1
data/peaks//31.csv,7.09,2547.1,135367.07
data/peaks//31.csv,7.02,77.5,11925.43
data/peaks//31.csv,6.99,243.4,28877.86
data/peaks//31.csv,6.97,2551.7,151551.31
data/peaks//31.csv,6.52,1189.4,29182.49
data/peaks//31.csv,5.26,164.4,17520.17
data/peaks//31.csv,4.31,123.4,12027.5
data/peaks//31.csv,4.02,139.8,24967.94
data/peaks//31.csv,3.95,373.6,51363.88
data/peaks//31.csv,2.1,193.9,232902.54
data/peaks//31.csv,2.08,258.1,4475.78
data/peaks//31.csv,1.91,982.4,15995.31
data/peaks//31.csv,1.87,231.9,83852.25
data/peaks//31.csv,1.65,122.9,3430.06
data/peaks//31.csv,1.56,114.5,3408.85
data/peaks//31.csv,1.54,401.4,18847.96
data/peaks//31.csv,1.52,719.9,48620.98
data/peaks//31.csv,1.5,791.7,55428.45
data/peaks//31.csv,1.49,447,22180.38
data/peaks//31.csv,1.35,317.4,11314.69
data/peaks//31.csv,1.34,179.4,7349.38
data/peaks//32.csv,7.62,207.5,79256.61
data/peaks//32.csv,7.24,295.2,14821.54
data/peaks//32.csv,7.22,2635.7,108599.34
data/peaks//32.csv,7.11,277.6,17007.28
data/peaks//32.csv,7.09,2654.7,101298.41
data/peaks//32.csv,6.99,314.9,25135.78
data/peaks//32.csv,6.96,2586.4,99525.07
data/peaks//32.csv,6.52,1009.2,33311.98
data/peaks//32.csv,5.26,222.5,22842.73
data/peaks//32.csv,5.09,128.4,42014.45
data/peaks//32.csv,4.41,239.7,20231
data/peaks//32.csv,2.19,432.5,13950.11
data/peaks//32.csv,1.91,754.4,17091.98
data/peaks//32.csv,1.87,286.1,121959.72
data/peaks//32.csv,1.64,171,15273.29
data/peaks//32.csv,1.52,862.8,100888.03
data/peaks//32.csv,1.5,655.3,44378.5
data/peaks//32.csv,1.49,375.2,19522.54
data/peaks//32.csv,1.46,166.6,6376.27
data/peaks//33.csv,8.92,80,21343.7
data/peaks//33.csv,7.62,232.5,97760.31
data/peaks//33.csv,7.24,179.1,10620.05
data/peaks//33.csv,7.22,1852.9,109210.72
data/peaks//33.csv,7.11,212.1,16622.03
data/peaks//33.csv,7.09,1870.1,99920.41
data/peaks//33.csv,6.96,1847.3,98914.52
data/peaks//33.csv,6.52,1226.2,34361.15
data/peaks//33.csv,5.26,173.3,24190.06
data/peaks//33.csv,5.09,118.4,52435.49
data/peaks//33.csv,4.42,124.3,5075.41
data/peaks//33.csv,4.41,259.8,21644.58
data/peaks//33.csv,4.4,126.7,3575.77
data/peaks//33.csv,2.19,522.6,18314.5
data/peaks//33.csv,2.14,137.2,72718.3
data/peaks//33.csv,2.08,375.7,9076.15
data/peaks//33.csv,2.06,206.8,92254.04
data/peaks//33.csv,2.04,161.1,27171.07
data/peaks//33.csv,1.91,884.2,17190.62
data/peaks//33.csv,1.88,281.1,118392.45
data/peaks//33.csv,1.85,145.6,37280.98
data/peaks//33.csv,1.65,199.5,23934.32
data/peaks//33.csv,1.62,107.1,16859.85
data/peaks//33.csv,1.54,310.6,14517.64
data/peaks//33.csv,1.52,843.6,94537.46
data/peaks//33.csv,1.5,819.7,72088.01
data/peaks//34.csv,8.95,142.4,27983.74
data/peaks//34.csv,7.63,273.6,114911.51
data/peaks//34.csv,7.25,107.5,2849.96
data/peaks//34.csv,7.24,378.6,17836.14
data/peaks//34.csv,7.22,5165.7,187166.5
data/peaks//34.csv,7.12,432.1,21647.44
data/peaks//34.csv,7.1,5377.1,185187.4
data/peaks//34.csv,6.99,451.4,30746.23
data/peaks//34.csv,6.97,5129.6,178080.94
data/peaks//34.csv,6.52,1537.1,49582.86
data/peaks//34.csv,5.27,114.1,3501.61
data/peaks//34.csv,5.26,302,21651.64
data/peaks//34.csv,5.1,129.1,55602.93
data/peaks//34.csv,4.41,307,26292.54
data/peaks//34.csv,4.4,138.4,5742.17
data/peaks//34.csv,2.19,636.2,16026.37
data/peaks//34.csv,2.18,255.1,39687.21
data/peaks//34.csv,2.14,222.3,37208.61
data/peaks//34.csv,2.08,384.1,7627.89
data/peaks//34.csv,2.06,316.7,125289.42
data/peaks//34.csv,2.04,159.1,10546.97
data/peaks//34.csv,1.91,1159.1,18294.14
data/peaks//34.csv,1.87,306.1,110645.55
data/peaks//34.csv,1.77,161.9,11421.33
data/peaks//34.csv,1.64,161.3,8982.74
data/peaks//34.csv,1.56,117.2,3248.8
data/peaks//34.csv,1.54,215.8,7147.9
data/peaks//34.csv,1.54,305.8,12533.18
data/peaks//34.csv,1.52,1068.7,78213.99
data/peaks//34.csv,1.5,1153.2,98176.62
data/peaks//35.csv,7.62,258.6,115072.14
data/peaks//35.csv,7.25,204.1,11943.43
data/peaks//35.csv,7.22,2762.2,157879.67
data/peaks//35.csv,7.12,148.6,6306.26
data/peaks//35.csv,7.11,122.6,11028.5
data/peaks//35.csv,7.09,2809.9,151530.82
data/peaks//35.csv,6.99,282.1,31129.71
data/peaks//35.csv,6.97,2777.2,160129.61
data/peaks//35.csv,6.52,1082.6,34224.03
data/peaks//35.csv,5.26,151.7,14939.85
data/peaks//35.csv,4.02,157.2,30071.17
data/peaks//35.csv,3.95,288.5,37083.72
data/peaks//35.csv,2.19,542.9,19264.27
data/peaks//35.csv,2.08,155.8,2397.54
data/peaks//35.csv,2.07,270.3,124118.81
data/peaks//35.csv,2.04,144.8,22331.81
data/peaks//35.csv,1.92,73.1,13297.73
data/peaks//35.csv,1.91,646.2,13123.99
data/peaks//35.csv,1.87,282,93579.31
data/peaks//35.csv,1.54,265.2,10462.39
data/peaks//35.csv,1.52,695.7,65376.52
data/peaks//35.csv,1.5,637.2,38330.15
data/peaks//35.csv,1.49,395.7,24108.38
data/peaks//31.csv,1.32,247.8,8712.99
data/peaks//31.csv,1.3,233,6799.41
data/peaks//31.csv,1.28,276.1,12567.15
data/peaks//31.csv,1.26,975,2106513.53
data/peaks//31.csv,1.26,465.6,38704.38
data/peaks//31.csv,1.25,1592.6,97424.59
data/peaks//31.csv,1.23,2994.5,161719.67
data/peaks//31.csv,1.15,563.5,21116.65
data/peaks//31.csv,1.11,719,11446.27
data/peaks//31.csv,1.06,395.9,11502.95
data/peaks//31.csv,1.05,4689.5,175993.39
data/peaks//31.csv,1.03,4901.7,218001.26
data/peaks//31.csv,1.02,283.3,6650.97
data/peaks//31.csv,1,226.9,5995.77
data/peaks//31.csv,0.89,283.4,15663.73
data/peaks//31.csv,0.87,425.6,36778.54
data/peaks//31.csv,0.86,604.2,25422.86
data/peaks//31.csv,0.85,397.5,9765.2
data/peaks//31.csv,0.85,709.4,63792.81
data/peaks//31.csv,0.83,378.7,132821.92
data/peaks//31.csv,0.83,181.4,9871.97
data/peaks//31.csv,0.81,204.9,6015.9
data/peaks//31.csv,0.8,152.6,9862.39
data/peaks//31.csv,0.79,148.4,4813.93
data/peaks//31.csv,0.07,474.1,11857.22
data/peaks//31.csv,NA,NA,NA
data/peaks//32.csv,1.42,1348.3,86729.59
data/peaks//32.csv,1.38,2101.7,111166.43
data/peaks//32.csv,1.32,264.7,8071.73
data/peaks//32.csv,1.3,195.4,6398.31
data/peaks//32.csv,1.27,455.8,41784.9
data/peaks//32.csv,1.25,4333.1,458580.8
data/peaks//32.csv,1.23,1013.7,45128.24
data/peaks//32.csv,1.18,174.5,4660.79
data/peaks//32.csv,1.14,553.5,25584.96
data/peaks//32.csv,1.11,476.1,13230.96
data/peaks//32.csv,1.04,15801.5,661191.25
data/peaks//32.csv,1.03,16178.7,698514.53
data/peaks//32.csv,1.01,1540.3,54249.41
data/peaks//32.csv,1,1536.1,43535.77
data/peaks//32.csv,0.87,548.7,44892.77
data/peaks//32.csv,0.86,770.7,28019.36
data/peaks//32.csv,0.84,592.7,74013.42
data/peaks//32.csv,0.81,273.3,35802.79
data/peaks//32.csv,0.07,403.5,12472.27
data/peaks//33.csv,1.49,408.1,16820.95
data/peaks//33.csv,1.47,155.9,5768.56
data/peaks//33.csv,1.42,858.3,70875.49
data/peaks//33.csv,1.38,1256.5,90741.3
data/peaks//33.csv,1.34,124.7,3567.02
data/peaks//33.csv,1.32,339.8,16103.86
data/peaks//33.csv,1.3,315.9,17238.1
data/peaks//33.csv,1.28,280,13512.58
data/peaks//33.csv,1.26,711.5,96642.96
data/peaks//33.csv,1.25,3917.9,316755
data/peaks//33.csv,1.23,1226.3,57661.38
data/peaks//33.csv,1.19,155.8,3420.31
data/peaks//33.csv,1.15,454.9,22106.83
data/peaks//33.csv,1.11,1066.2,24089.32
data/peaks//33.csv,1.04,16579.8,657626.04
data/peaks//33.csv,1.03,17488.5,842211.18
data/peaks//33.csv,1.01,1497.6,39823.86
data/peaks//33.csv,1,333.5,7593.78
data/peaks//33.csv,1,1640,45712.67
data/peaks//33.csv,0.87,502.3,58870.51
data/peaks//33.csv,0.86,725.6,32018.77
data/peaks//33.csv,0.84,557.7,76081.37
data/peaks//33.csv,0.81,134.6,3748.34
data/peaks//33.csv,0.81,187.6,27812.92
data/peaks//33.csv,0.79,116.8,3238.65
data/peaks//33.csv,0.07,328.9,9932.21
data/peaks//34.csv,1.49,612.5,30090.23
data/peaks//34.csv,1.46,308.7,14571.7
data/peaks//34.csv,1.43,1967.1,103922.33
data/peaks//34.csv,1.42,815.8,42025.77
data/peaks//34.csv,1.4,376.1,14625.88
data/peaks//34.csv,1.38,3012.6,143217.18
data/peaks//34.csv,1.34,146.8,5378
data/peaks//34.csv,1.32,384,13496.08
data/peaks//34.csv,1.3,395,17738.16
data/peaks//34.csv,1.28,707,60010.95
data/peaks//34.csv,1.26,760.1,53633.05
data/peaks//34.csv,1.25,5341.6,395889.51
data/peaks//34.csv,1.23,1697,74929.28
data/peaks//34.csv,1.18,174.4,4868.06
data/peaks//34.csv,1.15,580.5,25325.51
data/peaks//34.csv,1.11,167.9,3491.74
data/peaks//34.csv,1.11,1183.2,20818.48
data/peaks//34.csv,1.1,141.2,8173.42
data/peaks//34.csv,1.04,20615.8,783384.8
data/peaks//34.csv,1.03,20650.4,873751.32
data/peaks//34.csv,1.01,2192.1,66355.16
data/peaks//34.csv,1,370.3,7264.5
data/peaks//34.csv,1,2172.3,53100.24
data/peaks//34.csv,0.87,724.5,88686.62
data/peaks//34.csv,0.86,995.6,26094.42
data/peaks//34.csv,0.85,310.2,7130.46
data/peaks//34.csv,0.84,580.7,38098.01
data/peaks//34.csv,0.82,323.7,141749.39
data/peaks//34.csv,0.81,184.5,12410.88
data/peaks//34.csv,0.07,468.8,12602.81
data/peaks//35.csv,1.47,114.1,1791.98
data/peaks//35.csv,1.35,416.5,16207.93
data/peaks//35.csv,1.34,202.3,29621.62
data/peaks//35.csv,1.32,195.9,6720.63
data/peaks//35.csv,1.3,244,9511.68
data/peaks//35.csv,1.28,138.7,3081.4
data/peaks//35.csv,1.26,679.1,249085.9
data/peaks//35.csv,1.25,1060.2,77067.29
data/peaks//35.csv,1.23,2179.4,129729.35
data/peaks//35.csv,1.15,484.3,23564.96
data/peaks//35.csv,1.11,557.7,12376.89
data/peaks//35.csv,1.05,4026.1,201279.2
data/peaks//35.csv,1.03,4024.5,185624.23
data/peaks//35.csv,1.02,368.5,12709.31
data/peaks//35.csv,1,217.4,8055.8
data/peaks//35.csv,0.89,148.4,21465.3
data/peaks//35.csv,0.87,206.6,11593.99
data/peaks//35.csv,0.86,371.3,13679.27
data/peaks//35.csv,0.85,366.9,12336.87
data/peaks//35.csv,0.85,474.3,79223.91
data/peaks//35.csv,0.84,283.6,108710.48
data/peaks//35.csv,0.81,167.9,24778.18
data/peaks//35.csv,0.07,420.6,12729.81
